"Simple product '%1' has 2 matching configurable products: '%2' (Magento) and '%3' (import file). Please resolve manually.","Le produit simple '%1' a deux produits configurables potentiels : '%2' (Magento) et '%3' (fichier d'import). Veuillez résoudre le conflit manuellement."
"A variant product already exists with the same variants as provided data.","Un produit variant existe déjà avec les mêmes caractéristiques que les données fournies."
"ERROR: %1","ERREUR : %1"
"Invalid SKU specified, char %1 is not allowed.","SKU spécifié invalide, le caractère %1 n'est pas autorisé."
"ERROR: image is empty after download","ERREUR : l'image est vide après téléchargement"
"Common Settings","Configuration commune"
"Last synchronization date of Mirakl products.","Dernière synchronisation des produits."
"Downloading MCM products from Mirakl to Magento since %1","Téléchargement des produits MCM de Mirakl vers Magento depuis le %1"
"Downloading MCM products from Mirakl to Magento","Téléchargement des produits MCM de Mirakl vers Magento"
"%1 blocked by MCM Module","%1 bloqué par le Module MCM"
"Module MCM is disabled. See your Mirakl MCM configuration","Le module Mcm est désactivé. Regarder votre configuration MCM Mirakl"
"MCM products will be downloaded and imported asynchronously.","Les produits MCM vont être téléchargés de manière asynchrone."
"An error occurred while importing MCM products (%1).","Une erreur est survenue lors de l'import des produits MCM (%1)."
"Last synchronization date of MCM products.","Date de dernière synchronisation des produits MCM."
"Last MCM products synchronization date has been reset successfully.","La date de dernière synchronisation des produits MCM a été réinitialisée avec succès."
"No products to import since %1","Aucun produit à importer depuis %1"
"Importing MCM file...","Import du fichier MCM..."
"This flag also depends on flag ""Mirakl (Config) > Catalog Management (MCM) > Enable"".","Ce paramètre dépend aussi du champ ""Mirakl (Config) > Gestion catalogue (MCM) > Activer""."
"MCM Products Export (CM21)","Export des produits MCM (CM21)"
"Export all MCM products to Mirakl","Export de tous les produits MCM vers Mirakl"
"Done! (tracking id: %1)","Terminé ! (id tracking : %1)"
"Nothing to export","Rien à exporter"
"Preparing products to export...","Préparation des produits à exporter..."
"Sending products to Mirakl...","Envoi des produits vers Mirakl..."
"Sending integration report to Mirakl...","Envoi du rapport d'intégration à Mirakl..."
"MCM Errors","Erreurs MCM"
"Mirakl Identifier","Identifiant Mirakl"
"Mirakl Type Error","Type d'erreur Mirakl"
"Mirakl Error Code","Code erreur Mirakl"
"Mirakl Error Message","Message d'erreur Mirakl"
"Global","Global"
"MCM configuration is enabled: Mirakl automatically disabled Marketplace Categories Synchronization (CA01)","La configuration MCM est activée : Mirakl a désactivé automatiquement la synchronisation des catégories marketplace (CA01)"
"MCM configuration is enabled: Mirakl automatically disabled Products Synchronization (P21)","La configuration MCM est activée : Mirakl a désactivé automatiquement la synchronisation des produits (P21)"
"MCM configuration is enabled: Mirakl automatically enabled MCM Products Export (CM21)","La configuration MCM est activée : Mirakl a activé automatiquement l'export des produits MCM (CM21)"
"MCM configuration is disabled: Mirakl automatically disabled MCM Products Export (CM21)","La configuration MCM est activée : Mirakl a désactivé automatiquement l'export des produits MCM (CM21)"
"Are you sure? This will export all MCM products data to Mirakl platform.","Êtes-vous sûr ? Ceci va exporter les données des produits MCM vers Mirakl."
